City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
4,Dingle,PH,73.8,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
6,Rikitea,PF,73.13,overcast clouds,-23.1203,-134.9692,People ThankYou
14,Belize,BZ,73.72,clear sky,17.25,-88.75,Villa San Juan
15,Bambous Virieux,MU,75.45,broken clouds,-20.3428,57.7575,Casa Tia Villa
16,Kavaratti,IN,81.32,few clouds,10.5669,72.642,Green leaf
17,Hithadhoo,MV,82.13,broken clouds,-0.6,73.0833,Scoop Guest House
19,Busselton,AU,69.67,scattered clouds,-33.65,115.3333,Observatory Guest House
25,Etchoropo,MX,73.99,clear sky,26.7667,-109.6667,Campo de Andrés cruz jusaino
26,Kapaa,US,82.38,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
27,Sarangani,PH,83.26,light rain,5.4033,125.4636,JVL Inn and Cafeteria
36,Carnarvon,AU,70.0,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
39,Butaritari,KI,82.15,broken clouds,3.0707,172.7902,Isles Sunset Lodge
40,Flinders,AU,72.68,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
43,Sao Filipe,CV,79.97,overcast clouds,14.8961,-24.4956,Hotel Xaguate
44,Kahului,US,80.62,broken clouds,20.8947,-156.47,Maui Seaside Hotel
45,Faanui,PF,79.14,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
50,Ponta Do Sol,PT,75.0,light rain,32.6667,-17.1,Hotel do Campo
56,Manaure,CO,80.11,few clouds,11.7751,-72.4445,Hotel Palaaima
58,Bengkulu,ID,81.0,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
65,Nouakchott,MR,71.53,few clouds,18.0858,-15.9785,HOTEL IMAN
66,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
69,Tura,IN,78.82,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
71,Balsas,BR,75.0,broken clouds,-7.5325,-46.0356,Novo Hotel
73,Acajutla,SV,78.57,clear sky,13.5928,-89.8275,CASA DE LA PERRA
91,Les Cayes,HT,75.36,clear sky,18.2,-73.75,Villa Orphee
94,Vaini,TO,75.36,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
96,Nouadhibou,MR,71.58,broken clouds,20.931,-17.0347,El Medina
98,Mahebourg,MU,75.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
99,Kavieng,PG,83.82,light rain,-2.5744,150.7967,Nusa Island Retreat
104,Sydney,AU,77.27,clear sky,-33.8679,151.2073,The Grace Sydney
112,Quatre Cocos,MU,75.31,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
115,Atuona,PF,76.46,few clouds,-9.8,-139.0333,Villa Enata
117,Gushikawa,JP,82.4,broken clouds,26.3544,127.8686,Kirari Guest House
118,Ogembo,KE,69.01,broken clouds,-0.7984,34.7253,Sameta Lodge and Hotel
120,Ulladulla,AU,72.5,clear sky,-35.35,150.4667,Sandpiper Motel
122,Hilo,US,78.53,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
126,Vao,NC,76.23,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
136,Saint-Philippe,RE,76.59,few clouds,-21.3585,55.7679,Le four à pain
144,Mabay,PH,78.46,moderate rain,6.0577,124.4666,Bautista Lodging House
146,Hobyo,SO,80.4,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
148,Nago,JP,83.25,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
149,Itarema,BR,77.83,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
150,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
155,Fukue,JP,71.96,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
156,Feijo,BR,77.63,moderate rain,-8.1642,-70.3536,Hotel e Restaurante Aҫai
164,Pokhara,NP,71.31,broken clouds,28.2333,83.9833,OYO 170 Hotel View Point
168,Chazuta,PE,77.23,moderate rain,-6.5742,-76.1367,Cáliz Hostel Chazuta
169,Lakeway,US,69.89,overcast clouds,30.3638,-97.9796,Lakeway Resort & Spa
175,Prainha,BR,76.19,overcast clouds,-1.8,-53.48,Casa Rocha
181,Cabedelo,BR,77.67,few clouds,-6.9811,-34.8339,Pousada Camboinha
186,Kijini,TZ,76.71,few clouds,-5.85,39.3167,Green and Blue Ocean Lodge
191,Arraial Do Cabo,BR,72.75,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
192,Cabo San Lucas,MX,75.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
194,San Patricio,US,80.46,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
198,Coahuayana,MX,75.13,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
202,Manta,EC,69.58,overcast clouds,-0.95,-80.7333,Balandra Hotel
204,Vega De Alatorre,MX,76.08,clear sky,20.0333,-96.6333,Hotel D Luxe
205,Muroto,JP,68.45,overcast clouds,33.2833,134.15,Oota Ryokan
208,Cockburn Town,TC,80.22,clear sky,21.4612,-71.1419,Osprey Beach Hotel
211,Pathein,MM,84.07,overcast clouds,16.7833,94.7333,Pathein Hotel
213,Acarau,BR,77.45,scattered clouds,-2.8856,-40.12,castelo pizzaria
215,Basco,PH,80.65,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
222,Itoman,JP,83.17,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
224,Siocon,PH,78.64,moderate rain,7.7061,122.1353,ABS Hotel
225,Sharjah,AE,80.58,haze,25.3573,55.4033,Swiss Belhotel Sharjah
229,Axim,GH,77.25,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
235,Koungou,YT,82.11,few clouds,-12.7336,45.2042,Villa Netibor
240,Quang Ngai,VN,78.94,overcast clouds,15.1167,108.8,Central Hotel
241,Guanica,PR,78.19,light rain,17.9716,-66.908,Copamarina Beach Resort & Spa
242,Altamira,BR,74.64,broken clouds,-3.2033,-52.2064,Requinte Hotel
244,Katsina,NG,69.8,clear sky,12.9894,7.6006,Katsina Motel
245,Mehran,IR,84.96,scattered clouds,33.1222,46.1646,بوتیک زنانه بهار
246,The Valley,AI,82.09,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
247,Harper,LR,76.44,overcast clouds,4.375,-7.7169,Screensaver
252,Kirakira,SB,83.19,broken clouds,-10.4544,161.9205,SanBiz Lodge
256,Cayenne,GF,77.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
259,Atar,MR,78.87,broken clouds,20.5169,-13.0499,Oumou Elghoura
264,Marakkanam,IN,84.54,few clouds,12.2,79.95,Samvasa by the Sea
265,Champerico,GT,79.38,light rain,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
270,Gambela,ET,74.01,few clouds,8.25,34.5833,Solomon Debebe Hotel
274,Puerto Narino,CO,75.42,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
279,Mangan,IN,76.12,scattered clouds,27.5167,88.5333,Hotel Mout View
286,Diamantino,BR,74.46,broken clouds,-14.4086,-56.4461,Hotel Delta
295,Caravelas,BR,72.64,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
296,Cacule,BR,68.04,few clouds,-14.5033,-42.2222,"Radar Palace Hotel: Suítes, Apartamentos, Hospedagem em Caculé BA"
297,Pombas,CV,76.78,overcast clouds,17.1503,-25.0201,Paul Paradis
298,Honiara,SB,83.35,broken clouds,-9.4333,159.95,Heritage Park Hotel
299,Pemangkat,ID,84.76,light rain,1.1667,108.9667,Hotel Duyung Permai 2
301,El Tigre,VE,73.6,overcast clouds,8.8875,-64.2454,Hotel Santa Cruz
303,Domoni,KM,79.03,scattered clouds,-12.2569,44.5319,Al Djadid
304,Puerto Escondido,MX,79.84,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
305,Newcastle,AU,79.09,clear sky,-32.9272,151.7765,NOAH'S on the beach
309,Pitimbu,BR,77.59,few clouds,-7.4706,-34.8086,Reserva do Abiaí
312,Hasaki,JP,68.22,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
313,Manokwari,ID,84.06,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
316,Urucara,BR,77.23,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
318,Tarauaca,BR,77.11,scattered clouds,-8.1614,-70.7656,Flat Temporada
320,Ondjiva,AO,73.17,scattered clouds,-17.0667,15.7333,COMBUESA
326,Namatanai,PG,84.4,light rain,-3.6667,152.4333,Seagulls Inn Namatani
327,Vila Velha,BR,76.95,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
334,Meulaboh,ID,83.19,overcast clouds,4.1363,96.1285,Kost Pria
339,Santa Luzia,BR,73.74,clear sky,-19.7697,-43.8514,Pousada Chao Earth
341,Jertih,MY,84.96,overcast clouds,5.7336,102.4897,One Utama Hotel
343,Touros,BR,77.54,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
344,High Rock,BS,69.82,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
345,Sena Madureira,BR,73.4,heavy intensity rain,-9.0656,-68.6569,Hotel Central
346,Maceio,BR,72.84,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
350,Kabanjahe,ID,71.15,overcast clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
351,Haapiti,PF,78.53,scattered clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
354,Kulhudhuffushi,MV,81.73,clear sky,6.6221,73.07,Haajy Guest House 1
357,Omboue,GA,75.29,moderate rain,-1.5746,9.2618,Hotel Olako
358,Cap Malheureux,MU,71.47,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
362,Samarai,PG,84.15,overcast clouds,-10.6167,150.6667,Nuli Sapi
363,Sirajganj,BD,78.42,clear sky,24.45,89.7167,Shuvo's Home
364,Tezu,IN,81.63,clear sky,27.9167,96.1667,Circuit House
365,Jaciara,BR,74.97,overcast clouds,-15.9653,-54.9683,Taba Hotel
368,Alofi,NU,75.09,broken clouds,-19.0595,-169.9187,Taloa Heights
370,Malkerns,SZ,69.28,light rain,-26.5667,31.1833,Esthers Lodge
372,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
373,Kawambwa,ZM,72.93,overcast clouds,-9.7915,29.0791,Chembe Nsofu
377,Oranjestad,AW,80.55,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
380,Kalmunai,LK,83.7,clear sky,7.4167,81.8167,VS Villa
381,Lokoja,NG,73.44,overcast clouds,7.8024,6.743,Hotel Charvid
386,Kailua,US,78.15,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
389,Bom Jesus,BR,74.01,broken clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
391,Babu,CN,82.13,few clouds,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
398,Auki,SB,80.89,scattered clouds,-8.7676,160.7034,Auki Motel
400,Altar,MX,68.14,clear sky,30.7,-111.8167,Hotel Maria Elena
402,Cancun,MX,75.06,few clouds,21.1743,-86.8466,Hotel Tankah Cancun
403,Richards Bay,ZA,70.27,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
408,Sawakin,SD,81.9,overcast clouds,19.1059,37.3321,فندق الدويم
409,Grand Gaube,MU,75.6,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
410,Itaituba,BR,74.89,overcast clouds,-4.2761,-55.9836,Hotel Campos
421,Trairi,BR,77.9,few clouds,-3.2778,-39.2689,janelas do mar
425,Rockport,US,80.62,light rain,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
428,Tanete,ID,82.63,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
430,Porto Walter,BR,79.7,moderate rain,-8.2686,-72.7439,Hotel Silva
432,Tabou,CI,76.32,overcast clouds,4.423,-7.3528,hotêl doufoulougou
433,Sambava,MG,75.6,overcast clouds,-14.2667,50.1667,Melrose
438,Sinnamary,GF,77.27,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
439,Sakti,IN,80.08,clear sky,22.0333,82.9667,C.B. Sweet Home
440,Tonantins,BR,74.86,moderate rain,-2.8731,-67.8022,Hotel Hortensias
445,Panaba,MX,72.45,clear sky,21.2833,-88.2667,Hotel Don Fernando
451,Apartado,CO,72.82,overcast clouds,7.883,-76.6259,Hotel Towers100 Apartaestudios
454,Seoul,KR,69.19,few clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
456,Dibulla,CO,76.59,broken clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
460,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
463,Alappuzha,IN,81.72,few clouds,9.49,76.3264,Panoramic Sea Resort
468,Catazaja,MX,75.13,broken clouds,17.725,-92.0167,BNB CHIAPAS
472,Cabinda,AO,77.79,overcast clouds,-5.55,12.2,Hotel Maiombe
473,Tacub,PH,81.63,heavy intensity rain,8.1875,124.1081,TOTO AND GINA BIGORNIA'S RESIDENCE
474,Gat,IL,68.4,clear sky,31.61,34.7642,OlusHome
477,Mpika,ZM,71.71,clear sky,-11.8343,31.4529,Melodies Lodge
479,Upata,VE,73.18,moderate rain,8.0086,-62.3989,Posada Villa Nela
480,Obregon,NI,77.09,broken clouds,11.9566,-85.9636,Hostal Casa Aryen
481,San Pedro,PH,81.36,moderate rain,14.35,121.0167,Palines Apartment and Guesthouse
486,Ughelli,NG,74.89,overcast clouds,5.4899,6.0074,Prestige Hotel
488,Tingo Maria,PE,71.22,overcast clouds,-9.2895,-76.0088,Hospedaje Paraíso
491,Esmeraldas,BR,73.71,light rain,-19.7625,-44.3139,Forasteiro Pousada
496,Aden,YE,81.25,clear sky,12.7794,45.0367,Sama Emirate Hotel
498,Bankura,IN,82.49,clear sky,23.25,87.0667,Hotel Priyadarsini
499,Pochutla,MX,76.82,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
501,Isangel,VU,81.01,scattered clouds,-19.55,169.2667,Tanna Lodge
511,Anzio,IT,69.01,clear sky,41.4853,12.6179,Hotel Lido Garda
512,Kandi,BJ,69.98,clear sky,11.1342,2.9386,Hébergement de la Poste
515,Mahibadhoo,MV,81.21,broken clouds,3.7833,72.9667,Omadhoo Inn
522,Nyimba,ZM,81.52,clear sky,-14.5566,30.8149,Dali Dali Lodge
523,Biltine,TD,75.18,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
524,Aswan,EG,72.01,clear sky,24.0934,32.907,Nuba Nile
525,Geraldton,AU,70.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
528,Chililabombwe,ZM,74.08,broken clouds,-12.3648,27.8229,Tabernacle Guest Lodge and Events (Under new management!)
530,Novo Aripuana,BR,73.27,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
531,Marsh Harbour,BS,78.82,clear sky,26.5412,-77.0636,Abaco Beach Resort
532,Atambua,ID,84.34,overcast clouds,-9.1061,124.8925,Ros Muskanan
533,Loanda,AO,74.84,light rain,-8.8368,13.2343,EPIC SANA Luanda
534,Ixtapa,MX,70.27,clear sky,20.7,-105.2,hotel la terminal
536,Gizo,SB,83.52,light rain,-8.103,156.8419,Imagination Island
539,Miri,MY,80.19,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
540,Mana,GF,76.53,overcast clouds,5.6592,-53.7767,LE SAMANA
542,Los Llanos De Aridane,ES,71.13,clear sky,28.6585,-17.9182,Valle Aridane
548,Tawau,MY,81.0,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
550,Puerto Del Rosario,ES,71.35,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
551,Bubaque,GW,82.6,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
553,Jaque,PA,76.24,light rain,7.5175,-78.1703,Aventuras Jaque S.A
554,Janauba,BR,71.73,few clouds,-15.8025,-43.3089,Ouro Norte Palace Hotel
555,Fare,PF,79.29,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
556,Hadejia,NG,71.4,few clouds,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
559,Senanga,ZM,72.64,broken clouds,-16.1167,23.2667,Zango lodge
565,Khartoum,SD,82.02,clear sky,15.5518,32.5324,Hotel China
567,Kalemie,CD,73.36,broken clouds,-5.9475,29.1947,Mahobilali
573,Koundara,GN,73.76,few clouds,12.4833,-13.3,Residance B....
574,Santa Isabel Do Rio Negro,BR,77.81,broken clouds,-0.4139,-65.0192,Hotel GSA
575,Oistins,BB,81.03,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
577,Tagusao,PH,80.69,moderate rain,9.1924,117.8141,Caycay future beach resort
582,Alto Araguaia,BR,75.25,overcast clouds,-17.3147,-53.2153,Araguaia Palace Hotel
587,Mahanoro,MG,76.78,clear sky,-19.9,48.8,BUNGALOW MAHAMANINA
591,Humaita,BR,73.78,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
594,Maracacume,BR,70.92,broken clouds,-2.0428,-45.9592,Hotel Ramos
598,Saint-Pierre,RE,77.92,broken clouds,-21.3393,55.4781,Alize Plage
599,Inhambane,MZ,77.22,overcast clouds,-23.865,35.3833,Oceano
600,Vieques,PR,77.11,overcast clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
603,Pimenteiras,BR,75.24,broken clouds,-6.2453,-41.4192,Hotel rotativo pimentas
605,Ambilobe,MG,83.16,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
607,Luorong,CN,80.51,broken clouds,24.4058,109.6086,荣立大酒店
612,Mersin,TR,69.37,few clouds,36.862,34.6509,Nostalgia Boutique Hotel
613,Kawalu,ID,81.57,overcast clouds,-7.3817,108.2082,West Jontor
615,Daytona Beach,US,76.01,overcast clouds,29.2108,-81.0228,"Holiday Inn Resort Daytona Beach Oceanfront, an IHG Hotel"
618,Ponnani,IN,81.72,clear sky,10.767,75.9252,Rouba Residency
620,Praya,CV,77.54,clear sky,14.9215,-23.5087,LT Aparthotel
624,Pringsewu,ID,84.11,overcast clouds,-5.3582,104.9744,Urban Style by Front One
626,Libreville,GA,78.82,thunderstorm,0.3925,9.4537,Hotel Kreg Le Patio
627,Baculin,PH,84.33,light rain,7.4525,126.5842,Baculin Cove Beach Resort
629,Sao Jose Da Coroa Grande,BR,75.6,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
630,Garowe,SO,76.23,scattered clouds,8.4054,48.4845,Curubo Hotel
634,Alta Floresta,BR,70.93,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
635,Houston,US,69.01,haze,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
637,Nelson Bay,AU,79.09,clear sky,-32.7167,152.15,Mantra Nelson Bay
639,Narasannapeta,IN,82.13,clear sky,18.4167,84.05,AVK events and catering
645,Harindanga,IN,83.05,clear sky,22.0383,88.3214,Hasanur Builders
646,Inirida,CO,75.15,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
648,Bambanglipuro,ID,80.47,overcast clouds,-7.95,110.2833,Puri Brata
654,Bowen,AU,83.08,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
657,Saint-Georges,GD,77.05,heavy intensity rain,12.0564,-61.7485,Radisson Grenada Beach Resort
659,Dabra,IN,82.17,clear sky,25.9,78.3333,Pankaj Sharma House
663,Hunterville,NZ,68.7,overcast clouds,-39.9333,175.5667,Argyle Hotel
668,Asfi,MA,73.06,clear sky,32.2994,-9.2372,Hôtel Abda
669,Rio Verde De Mato Grosso,BR,76.73,overcast clouds,-18.9181,-54.8442,Quedas Palace Hotel
671,Tiarei,PF,78.82,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
673,Denpasar,ID,83.86,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
676,Sao Joao Da Barra,BR,72.64,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
677,Hit,IQ,73.36,clear sky,33.6416,42.8251,المعلق حسان رزاق
678,Mackay,AU,81.93,light rain,-21.15,149.2,International Lodge Motel
679,Le Port,RE,78.76,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
682,Boa Vista,BR,76.98,light rain,2.8197,-60.6733,Aipana Plaza Hotel
683,Hambantota,LK,84.54,few clouds,6.1241,81.1185,Bungalow 63
687,Gunnedah,AU,71.67,clear sky,-30.9833,150.25,Gunnedah Motor Inn
688,Anori,BR,74.21,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
689,Bandarbeyla,SO,81.01,clear sky,9.4942,50.8122,JABIR HOTEL
691,Sarankhola,BD,82.4,clear sky,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
692,Mareeba,AU,84.49,moderate rain,-17.0,145.4333,Trinity Plains Tourist Park
693,Marzuq,YE,73.09,clear sky,14.4,46.4667,حيد القفلة
699,Galle,LK,82.94,clear sky,6.0367,80.217,Amangalla
700,Pozo Colorado,PY,70.43,few clouds,-23.4923,-58.7972,Hospedaje La Norteña
701,Cotonou,BJ,79.68,overcast clouds,6.3654,2.4183,Novotel Cotonou Orisha
702,Najran,SA,69.69,clear sky,17.4924,44.1277,محمد هادي ال فطيح
703,Mancio Lima,BR,76.91,heavy intensity rain,-7.6142,-72.8958,Motel Asas Do Desejo
704,Nuevo Progreso,MX,72.54,few clouds,23.1667,-97.95,Balneario Rio el Paraiso
706,Isiro,CD,69.39,overcast clouds,2.7739,27.616,Guest House Hewa Bora
708,Marawi,PH,71.74,heavy intensity rain,7.9986,124.2928,Derogongan Residence
711,Santander,ES,76.71,clear sky,43.4647,-3.8044,Abba Santander Hotel
712,Mandera,KE,77.34,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
716,Tual,ID,82.27,broken clouds,-5.6667,132.75,Grand Vilia Hotel
